asn=0    	id=-1  	Main	copying configuration file E:\tsch-new-manual\tsch-sim\examples\threeLineExmp\config.json to output directory E:\tsch-new-manual\tsch-sim\results\2022-01-12_14-35-46\config.json[MAIN]
asn=12787	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=13308	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=13308	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=13308	id=2   	App	generate a packet, seqnum=4 for=1 [PACKET_SOURCE]
asn=13308	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=13308	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=13308	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=13308	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 4], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=13308	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=13312	id=1   	App	rx app packet seqnum=4 from=2 at cell [ts: 2, co: 2][NODE]
asn=13312	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=4 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=13312	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=13312	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=13905	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=13905	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=13970	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=13970	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=13970	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15002	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=15002	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=15002	id=2   	App	generate a packet, seqnum=5 for=1 [PACKET_SOURCE]
asn=15002	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=15002	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=15002	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=15002	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 5], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=15002	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=15002	id=1   	App	rx app packet seqnum=5 from=2 at cell [ts: 2, co: 2][NODE]
asn=15002	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=5 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=15002	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15002	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15145	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15145	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15572	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=15572	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=15572	id=2   	App	generate a packet, seqnum=6 for=1 [PACKET_SOURCE]
asn=15572	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=15572	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=15572	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=15572	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 6], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=15572	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=15572	id=1   	App	rx app packet seqnum=6 from=2 at cell [ts: 2, co: 2][NODE]
asn=15572	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=6 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=15572	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15572	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16523	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=16523	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=16523	id=2   	App	generate a packet, seqnum=7 for=1 [PACKET_SOURCE]
asn=16523	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=16523	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=16523	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=16523	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 7], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=16523	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=16527	id=1   	App	rx app packet seqnum=7 from=2 at cell [ts: 2, co: 2][NODE]
asn=16527	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=7 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=16527	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=16527	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16735	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=16735	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=17655	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=17655	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=17655	id=2   	App	generate a packet, seqnum=8 for=1 [PACKET_SOURCE]
asn=17655	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=17655	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=17655	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=17655	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 8], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=17655	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=17657	id=1   	App	rx app packet seqnum=8 from=2 at cell [ts: 2, co: 2][NODE]
asn=17657	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=8 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=17657	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=17657	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=17985	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=17985	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=18001	id=-1  	Main	180 seconds, progress 30.00%[SIMULATOR]
asn=18001	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=18001	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=18001	id=-1  	TSCH	Periodic process called for [Node]
asn=18001	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=18001	id=1   	TSCH	stats: {"idle_listen":7181,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":8,"tx_data":11,"tx_data_rx_ack":0}[NODE]
asn=18001	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=18001	id=2   	TSCH	stats: {"idle_listen":3218,"channel_scan":9920,"rx_data":0,"rx_data_tx_ack":0,"tx_data":6,"tx_data_rx_ack":8}[NODE]
asn=18005	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=18005	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=18005	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=18384	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=18384	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=18384	id=2   	App	generate a packet, seqnum=9 for=1 [PACKET_SOURCE]
asn=18384	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=18384	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=18384	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=18384	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 9], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=18384	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=18387	id=1   	App	rx app packet seqnum=9 from=2 at cell [ts: 2, co: 2][NODE]
asn=18387	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=9 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=18387	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=18387	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=19365	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=19365	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=19510	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=19510	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=19510	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=19801	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=19801	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=19801	id=2   	App	generate a packet, seqnum=10 for=1 [PACKET_SOURCE]
asn=19801	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=19801	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=19801	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=19801	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 10], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=19801	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=19802	id=1   	App	rx app packet seqnum=10 from=2 at cell [ts: 2, co: 2][NODE]
asn=19802	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=10 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=19802	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=19802	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=20700	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=20700	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=20812	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=20812	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=20812	id=2   	App	generate a packet, seqnum=11 for=1 [PACKET_SOURCE]
asn=20812	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=20812	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=20812	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=20812	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 11], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=20812	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=20812	id=1   	App	rx app packet seqnum=11 from=2 at cell [ts: 2, co: 2][NODE]
asn=20812	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=11 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=20812	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=20812	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=21681	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=21681	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=21681	id=2   	App	generate a packet, seqnum=12 for=1 [PACKET_SOURCE]
asn=21681	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=21681	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=21681	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=21681	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 12], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=21681	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=21682	id=1   	App	rx app packet seqnum=12 from=2 at cell [ts: 2, co: 2][NODE]
