asn=0    	id=-1  	Main	copying configuration file E:\tsch-new-manual\tsch-sim\examples\twoNodeExmp\configManual.json to output directory E:\tsch-new-manual\tsch-sim\results\2022-01-18_14-13-29\configManual.json[MAIN]
asn=0    	id=-1  	Main	initializing 1200 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	initializing leaf-and-forwarder scheduler [SCHEDULER_NEW]
asn=0    	id=-1  	Main	creating 1 "root" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	creating 2 "leaf" nodes...[SIMULATOR]
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	Main	simulation created[SIMULATOR]
asn=0    	id=-1  	Main	starting simulation main loop...[SIMULATOR]
asn=0    	id=1   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=1   	Node	Slotframe number 1 added from node: 1 [NODE]
asn=0    	id=1   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=1   	TSCH	about to add cells at channel offset=2 called by node 1 [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Adding cells through: 1 length: 1 [2]
asn=0    	id=1   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=1   	TSCH	Node has joined TSCH as coordinator [NODE]
asn=0    	id=1   	Node	Start method called from Manual Routing for 1
asn=0    	id=1   	Node	Route File Read successfully [ROUTING MANUAL]
asn=0    	id=1   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=0    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=1   	Node	update time source called [NODE]
asn=0    	id=1   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=2   	Node	Slotframe number 1 added from node: 2 [NODE]
asn=0    	id=2   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=2   	TSCH	about to add cells at channel offset=1 called by node 2 [SCHEDULER NEW]
asn=0    	id=2   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=2   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=2   	Node	update time source called [NODE]
asn=0    	id=2   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	Node	scanning on channel=15...[NODE]
asn=0    	id=3   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=3   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=3   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=3   	Node	Slotframe number 1 added from node: 3 [NODE]
asn=0    	id=3   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=3   	TSCH	about to add cells at channel offset=2 called by node 3 [SCHEDULER NEW]
asn=0    	id=3   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=3   	Node	update time source called [NODE]
asn=0    	id=3   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=3   	Node	scanning on channel=15...[NODE]
asn=3    	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=3    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=100  	id=2   	Node	scanning on channel=26...[NODE]
asn=100  	id=3   	Node	scanning on channel=25...[NODE]
asn=200  	id=2   	Node	scanning on channel=25...[NODE]
asn=200  	id=3   	Node	scanning on channel=26...[NODE]
asn=301  	id=2   	Node	scanning on channel=26...[NODE]
asn=301  	id=3   	Node	scanning on channel=15...[NODE]
asn=402  	id=2   	Node	scanning on channel=25...[NODE]
asn=402  	id=3   	Node	scanning on channel=20...[NODE]
asn=503  	id=2   	Node	scanning on channel=20...[NODE]
asn=503  	id=3   	Node	scanning on channel=26...[NODE]
asn=604  	id=3   	Node	scanning on channel=25...[NODE]
asn=705  	id=2   	Node	scanning on channel=26...[NODE]
asn=705  	id=3   	Node	scanning on channel=26...[NODE]
asn=907  	id=2   	Node	scanning on channel=15...[NODE]
asn=907  	id=3   	Node	scanning on channel=20...[NODE]
asn=1008 	id=2   	Node	scanning on channel=25...[NODE]
asn=1008 	id=3   	Node	scanning on channel=25...[NODE]
asn=1109 	id=2   	Node	scanning on channel=26...[NODE]
asn=1109 	id=3   	Node	scanning on channel=15...[NODE]
asn=1210 	id=3   	Node	scanning on channel=26...[NODE]
asn=1311 	id=3   	Node	scanning on channel=15...[NODE]
asn=1412 	id=2   	Node	scanning on channel=15...[NODE]
asn=1412 	id=3   	Node	scanning on channel=20...[NODE]
asn=1513 	id=2   	Node	scanning on channel=26...[NODE]
asn=1599 	id=3   	Node	add neighbor id=1 [NODE]
asn=1599 	id=3   	Node	Add_route called from ensure neighbor
asn=1599 	id=3   	TSCH	joined/associated at 15.99 on receiving an EB packet from 1[NODE]
asn=1599 	id=3   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1599 	id=3   	Node	update time source called [NODE]
asn=1599 	id=3   	Main	On new time source method called from Manual Routing [ROUTING MANUAL]
asn=1599 	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1599 	id=3   	Node	Start method called from Manual Routing for 3
asn=1599 	id=3   	Node	Route File Read successfully [ROUTING MANUAL]
asn=1599 	id=3   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=1599 	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1599 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=1599 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1613 	id=2   	Node	scanning on channel=20...[NODE]
asn=1713 	id=2   	Node	scanning on channel=15...[NODE]
asn=1813 	id=2   	Node	scanning on channel=26...[NODE]
asn=2113 	id=2   	Node	scanning on channel=20...[NODE]
asn=2213 	id=2   	Node	scanning on channel=26...[NODE]
asn=2413 	id=2   	Node	scanning on channel=25...[NODE]
asn=2613 	id=2   	Node	scanning on channel=26...[NODE]
asn=2713 	id=2   	Node	scanning on channel=25...[NODE]
asn=2813 	id=2   	Node	scanning on channel=20...[NODE]
asn=3013 	id=2   	Node	scanning on channel=15...[NODE]
asn=3113 	id=2   	Node	scanning on channel=26...[NODE]
asn=3129 	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3129 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=3129 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3213 	id=2   	Node	scanning on channel=20...[NODE]
asn=3314 	id=2   	Node	scanning on channel=26...[NODE]
asn=3415 	id=2   	Node	scanning on channel=15...[NODE]
asn=3516 	id=2   	Node	scanning on channel=26...[NODE]
asn=3617 	id=2   	Node	scanning on channel=25...[NODE]
asn=3718 	id=2   	Node	scanning on channel=20...[NODE]
asn=3819 	id=2   	Node	scanning on channel=26...[NODE]
asn=3920 	id=2   	Node	scanning on channel=20...[NODE]
asn=4021 	id=2   	Node	scanning on channel=25...[NODE]
asn=4223 	id=2   	Node	scanning on channel=20...[NODE]
asn=4324 	id=2   	Node	scanning on channel=15...[NODE]
asn=4425 	id=2   	Node	scanning on channel=26...[NODE]
asn=4560 	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=4560 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=4560 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=4600 	id=3   	Node	send keepalive packet to=1[NODE]
asn=4600 	id=3   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=4600 	id=3   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=4600 	id=3   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=4600 	id=3   	TSCH	Node: 3  length: 1 on packet ready
asn=4600 	id=3   	TSCH	schedule packet [src: 3, dest: 1, seqnum: -1], channel offset=0 timeslot=0[SCHEDULER NEW]
