asn=0    	id=-1  	Main	copying configuration file E:\test-projects\TSCH_experiment\my_experiment\twoNodeExmp\config.json to output directory E:\test-projects\TSCH_experiment\results\2022-02-15_02-58-16\config.json[MAIN]
asn=5580 	id=2   	TSCH	joined/associated at 55.8 on receiving an EB packet from 1[NODE]
asn=5580 	id=2   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=5580 	id=2   	Node	update time source called [NODE]
asn=5580 	id=2   	Main	On new time source method called from Manual Routing [ROUTING MANUAL]
asn=5580 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=5580 	id=2   	Node	Start method called from Manual Routing for 2
asn=5580 	id=2   	Node	Route File Read successfully [ROUTING MANUAL]
asn=5580 	id=2   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=5580 	id=2   	Node	Reading routes for Node 2 [ROUTING MANUAL]
asn=5580 	id=2   	Node	Destination = 1, Nexthop = 1 [ROUTING MANUAL]
asn=5580 	id=2   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 2
asn=5580 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=5580 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=5580 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=5580 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=6001 	id=-1  	Main	60 seconds, progress 10.00%[SIMULATOR]
asn=6001 	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=6001 	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=6001 	id=-1  	TSCH	Periodic process called for [Node]
asn=6001 	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=6001 	id=1   	TSCH	stats: {"idle_listen":795,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":0,"tx_data":5,"tx_data_rx_ack":0}[NODE]
asn=6001 	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=6001 	id=2   	TSCH	stats: {"idle_listen":84,"channel_scan":5580,"rx_data":0,"rx_data_tx_ack":0,"tx_data":0,"tx_data_rx_ack":0}[NODE]
asn=6300 	id=1   	Node	add neighbor id=2 [NODE]
asn=6300 	id=1   	Node	Add_route called from ensure neighbor
asn=6300 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=6300 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=7020 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=7020 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=7020 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=7830 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=7830 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=8550 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=8550 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=8550 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=8580 	id=2   	Node	send keepalive packet to=1[NODE]
asn=8580 	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=8580 	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=8580 	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=8580 	id=2   	TSCH	Node: 2  length: 3 on packet ready
asn=8580 	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 2, co: 2]
asn=8580 	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: -1], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=8580 	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=8582 	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=8582 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=8582 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=9210 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=9210 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=9765 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=9765 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=9765 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=10785	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=10785	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=11115	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=11115	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=11115	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=12000	id=-1  	Main	120 seconds, progress 20.00%[SIMULATOR]
asn=12000	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=12000	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=12000	id=-1  	TSCH	Periodic process called for [Node]
asn=12000	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=12000	id=1   	TSCH	stats: {"idle_listen":1589,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":1,"tx_data":9,"tx_data_rx_ack":0}[NODE]
asn=12000	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=12000	id=2   	TSCH	stats: {"idle_listen":1278,"channel_scan":5580,"rx_data":0,"rx_data_tx_ack":0,"tx_data":4,"tx_data_rx_ack":1}[NODE]
asn=12210	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=12210	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=12630	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=12630	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=12630	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=13785	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=13785	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=14055	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=14055	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=14055	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=14110	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=14110	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=14110	id=2   	App	generate a packet, seqnum=1 for=1 [PACKET_SOURCE]
asn=14110	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=14110	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=14110	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=14110	id=2   	TSCH	Node: 2  length: 3 on packet ready
asn=14110	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 2, co: 2]
asn=14110	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 1], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=14110	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=14117	id=1   	App	rx app packet seqnum=1 from=2 at cell [ts: 2, co: 2][NODE]
asn=14117	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=1 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=14117	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=14117	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15045	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15045	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15345	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15345	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15345	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16545	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=16545	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16830	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16830	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=16830	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=17650	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=17650	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=17650	id=2   	App	generate a packet, seqnum=2 for=1 [PACKET_SOURCE]
asn=17650	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=17650	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=17650	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=17650	id=2   	TSCH	Node: 2  length: 3 on packet ready
asn=17650	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 2, co: 2]
asn=17650	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 2], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=17650	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=17657	id=1   	App	rx app packet seqnum=2 from=2 at cell [ts: 2, co: 2][NODE]
asn=17657	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=2 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=17657	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=17657	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=18001	id=-1  	Main	180 seconds, progress 30.00%[SIMULATOR]
asn=18001	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=18001	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=18001	id=-1  	TSCH	Periodic process called for [Node]
asn=18001	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=18001	id=1   	TSCH	stats: {"idle_listen":2384,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":3,"tx_data":13,"tx_data_rx_ack":0}[NODE]
asn=18001	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=18001	id=2   	TSCH	stats: {"idle_listen":2473,"channel_scan":5580,"rx_data":0,"rx_data_tx_ack":0,"tx_data":8,"tx_data_rx_ack":3}[NODE]
asn=18120	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=18120	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=18420	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=18420	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=18420	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=19515	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=19515	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=20010	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=20010	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=20010	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=20940	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=20940	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=21465	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=21465	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=21465	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=22455	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=22455	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=22815	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=22815	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=22815	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=22885	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=22885	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=22885	id=2   	App	generate a packet, seqnum=3 for=1 [PACKET_SOURCE]
asn=22885	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=22885	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=22885	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=22885	id=2   	TSCH	Node: 2  length: 3 on packet ready
asn=22885	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 2, co: 2]
asn=22885	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 3], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=22885	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=22892	id=1   	App	rx app packet seqnum=3 from=2 at cell [ts: 2, co: 2][NODE]
asn=22892	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=3 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=22892	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=22892	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=23760	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=23760	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=24001	id=-1  	Main	240 seconds, progress 40.00%[SIMULATOR]
asn=24001	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=24001	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=24001	id=-1  	TSCH	Periodic process called for [Node]
asn=24001	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=24001	id=1   	TSCH	stats: {"idle_listen":3179,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":4,"tx_data":17,"tx_data_rx_ack":0}[NODE]
asn=24001	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=24001	id=2   	TSCH	stats: {"idle_listen":3667,"channel_scan":5580,"rx_data":0,"rx_data_tx_ack":0,"tx_data":13,"tx_data_rx_ack":4}[NODE]
asn=24180	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=24180	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=24180	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=25230	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=25230	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=25500	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=25500	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=25500	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=25588	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=25588	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=25588	id=2   	App	generate a packet, seqnum=4 for=1 [PACKET_SOURCE]
asn=25588	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=25588	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=25588	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=25588	id=2   	TSCH	Node: 2  length: 3 on packet ready
asn=25588	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 2, co: 2]
asn=25588	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 4], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=25588	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=25592	id=1   	App	rx app packet seqnum=4 from=2 at cell [ts: 2, co: 2][NODE]
asn=25592	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=4 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=25592	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=25592	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=26475	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=26475	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=26865	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=26865	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=26865	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=27855	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=27855	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=28455	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=28455	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=28455	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=29190	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=29190	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=29850	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=29850	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=29850	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=30001	id=-1  	Main	300 seconds, progress 50.00%[SIMULATOR]
asn=30001	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=30001	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=30001	id=-1  	TSCH	Periodic process called for [Node]
asn=30001	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=30001	id=1   	TSCH	stats: {"idle_listen":3973,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":5,"tx_data":22,"tx_data_rx_ack":0}[NODE]
asn=30001	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=30001	id=2   	TSCH	stats: {"idle_listen":4862,"channel_scan":5580,"rx_data":0,"rx_data_tx_ack":0,"tx_data":17,"tx_data_rx_ack":5}[NODE]
asn=30405	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=30405	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=31282	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=31282	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=31282	id=2   	App	generate a packet, seqnum=5 for=1 [PACKET_SOURCE]
asn=31282	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=31282	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=31282	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=31282	id=2   	TSCH	Node: 2  length: 3 on packet ready
asn=31282	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 2, co: 2]
asn=31282	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 5], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=31282	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=31292	id=1   	App	rx app packet seqnum=5 from=2 at cell [ts: 2, co: 2][NODE]
asn=31292	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=5 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=31292	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=31292	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=31335	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=31335	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=31335	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=31665	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=31665	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=32655	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=32655	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=32655	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=33195	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=33195	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=34170	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=34170	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=34170	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=34530	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=34530	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=35411	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
